timestamp,source_port,destination_port,protocol,action,bytes_sent,bytes_received,threat_level
2025-06-03T19:32:30Z,39186,8080,TCP,BLOCK,1479,3962,CRITICAL
2025-06-02T17:24:47Z,24926,3306,UDP,ALLOW,907,3640,MEDIUM
2025-06-01T00:46:20Z,51987,443,UDP,BLOCK,2766,3489,CRITICAL
2025-06-04T02:02:09Z,37235,8080,ICMP,ALLOW,4433,11104,CRITICAL
2025-06-01T12:27:11Z,2917,80,ICMP,ALLOW,1872,6933,MEDIUM
2025-06-02T20:31:37Z,60837,80,ICMP,DROP,2787,13708,CRITICAL
2025-06-01T17:20:57Z,58065,22,UDP,BLOCK,4163,3644,HIGH
2025-06-01T04:03:21Z,13041,80,ICMP,BLOCK,3382,11058,HIGH
2025-06-02T06:18:00Z,27854,25,TCP,BLOCK,1849,9529,LOW
2025-06-02T17:37:05Z,52641,21,ICMP,BLOCK,1726,14759,HIGH
2025-06-03T18:46:17Z,40193,443,ICMP,ALLOW,3397,13376,MEDIUM
2025-06-04T10:50:55Z,29391,443,TCP,ALLOW,1423,1452,MEDIUM
2025-06-03T00:44:10Z,46158,53,UDP,BLOCK,4026,4197,CRITICAL
2025-06-04T22:21:45Z,9813,80,ICMP,DROP,750,14161,HIGH
2025-06-03T18:27:31Z,14841,443,UDP,ALLOW,3633,9765,CRITICAL
2025-06-03T06:30:05Z,32060,53,TCP,ALLOW,1569,6679,MEDIUM
2025-06-03T11:24:52Z,47918,8080,UDP,DROP,4655,10258,MEDIUM
2025-06-03T15:17:48Z,47474,8080,UDP,BLOCK,4839,5559,LOW
2025-06-04T19:08:09Z,18026,8080,TCP,ALLOW,2474,241,HIGH
2025-06-04T05:11:45Z,49441,22,UDP,BLOCK,486,12537,LOW
2025-06-04T13:53:09Z,63031,22,ICMP,DROP,1937,5411,MEDIUM
2025-06-04T16:11:53Z,17953,53,ICMP,BLOCK,4743,11347,HIGH
2025-06-03T13:00:22Z,28101,443,ICMP,BLOCK,2216,13760,CRITICAL
2025-06-03T23:37:39Z,34087,80,UDP,BLOCK,3979,12525,LOW
2025-06-01T00:57:27Z,34964,80,TCP,ALLOW,449,9246,CRITICAL
2025-06-03T07:36:20Z,58919,21,UDP,ALLOW,1604,6449,MEDIUM
2025-06-02T15:53:03Z,39906,80,UDP,ALLOW,684,4766,LOW
2025-06-01T10:55:05Z,18314,21,UDP,ALLOW,4336,11023,HIGH
2025-06-04T21:47:42Z,53800,80,UDP,BLOCK,4488,4431,MEDIUM
2025-06-03T06:32:02Z,23309,8080,UDP,ALLOW,1358,5711,LOW
2025-06-04T23:26:26Z,34803,25,TCP,BLOCK,4670,5483,MEDIUM
2025-06-04T08:02:40Z,57695,21,TCP,ALLOW,1713,2022,HIGH
2025-06-04T11:50:28Z,36064,443,ICMP,ALLOW,4789,12065,MEDIUM
2025-06-01T07:00:57Z,22554,80,TCP,BLOCK,215,9828,HIGH
2025-06-04T14:19:41Z,21277,3306,ICMP,DROP,248,14366,CRITICAL
2025-06-01T17:36:09Z,11405,3306,TCP,BLOCK,473,6689,CRITICAL
2025-06-03T13:27:50Z,9485,8080,UDP,BLOCK,319,14994,MEDIUM
2025-06-02T07:40:39Z,8659,25,UDP,ALLOW,3184,11221,HIGH
